source_slug,source_name,platform,source_url,public_task,public_images,public_classes,license,drive_zip_name,drive_status,domain_role,public_decision,public_reason,required_next_gate
food_data_truongvo,Food Data / TruongVo,roboflow,https://universe.roboflow.com/truongvo/food-data-e2kl5-vqaqp,Object Detection,8205,31,CC BY 4.0,01_food_data_vn.zip.zip,present,vietnamese_dish_backbone,ACCEPT_TO_RAW_AUDIT,"Vietnamese dish source, object detection, CC BY 4.0, good image/class density.",Raw zip audit plus sample bbox grid
detection_15_vietnamese_food_v2,DETECTION_15_VIETNAMESE_FOOD,roboflow,https://universe.roboflow.com/faints-workspace/detection_15_vietnamese_food-u9g3u-wznfs,Object Detection,2889,15,CC BY 4.0,,missing_download,vietnamese_dish_coverage,DOWNLOAD_THEN_AUDIT,"Vietnamese classes are product-relevant and public page confirms object detection and CC BY 4.0.",Download YOLO detect export to Drive then raw audit
vietnamese_food_calories,vietnamese-food-calories,roboflow,https://universe.roboflow.com/toby-b9kw2/vietnamese-food-calories-suwt6,Object Detection,947,33,CC BY 4.0,vietnamese-food-calories.v1i.yolov11.zip,present,vietnamese_dish_tail,ACCEPT_TO_RAW_AUDIT_CONDITIONAL,"Small source but class list is Vietnamese/nutrition-aligned; keep only classes with clean bbox and sufficient instances.",Raw zip audit plus class count filter
rawdata_my_khanh,RawData / My Khanh Nguyen,roboflow,https://universe.roboflow.com/search?q=like%3Anhandangmonan%2Fbanh-nhan-gian,Object Detection,3019,50,UNVERIFIED,RawData.v12i.yolov11.zip,present,mekong_vietnamese_dish_coverage,ACCEPT_TO_RAW_AUDIT_CONDITIONAL,"Public search result indicates strong miền Tây/Vietnamese coverage; license and exact source page still need verification.",Verify exact page/license then raw audit
food_prethesis,Food / Prethesis,roboflow,https://universe.roboflow.com/prethesis-avz0w/food-4otph,Object Detection,8738,68,UNVERIFIED,Food.v6i.yolov11.zip,present,vietnamese_broad_dish_coverage,ACCEPT_TO_RAW_AUDIT_CONDITIONAL,"Large Vietnamese food candidate, but must reject noisy/non-food classes after audit.",Verify exact page/license then raw audit
food_items,Food Items / FoodRecognitionPreThesis,roboflow,https://universe.roboflow.com/foodrecognitionprethesis/food-items-j9iud,Object Detection,1360,52,CC BY 4.0,Food Items.v11i.yolov11.zip,present,home_meal_canteen_classes,ACCEPT_TO_RAW_AUDIT_CONDITIONAL,"Very relevant home-meal labels, but low images per class means many classes may merge/reject.",Raw audit plus sample grid plus class retention
canteen_menu,canteen_menu,roboflow,https://universe.roboflow.com/nhanbeo/canteen_menu,Object Detection,3369,9,UNVERIFIED,canteen_menu.v4i.yolov11.zip,present,canteen_meal_scenes,ACCEPT_TO_RAW_AUDIT_CONDITIONAL,"Highly relevant Vietnamese canteen scenes; public metadata/license must be reverified.",Verify exact page/license then raw audit
food_ai_tong_hop,Food_AI_Tong_Hop,roboflow,https://universe.roboflow.com/foodaitonghop/food_ai_tong_hop,Object Detection,1929,6,UNVERIFIED,Food_AI_Tong_Hop.v1-banh_mi.yolov11.zip,present,core_recall_booster,ACCEPT_TO_RAW_AUDIT_CONDITIONAL,"Useful booster for common Vietnamese classes; duplicate risk with Vietnamese Food 5 and Food Data.",Verify page/license then duplicate-controlled audit
vietnamese_food_5,Vietnamese Food 5 classes,roboflow,https://universe.roboflow.com/foodaitonghop/vietnamese-food-0nsuo,Object Detection,1000,5,UNVERIFIED,03_vietnamese_food_5.zip,present,core_vietnamese_classes,ACCEPT_TO_RAW_AUDIT_CONDITIONAL,"Small but focused source; useful only if bbox quality and duplicate control pass.",Verify page/license then duplicate-controlled audit
banh_dan_gian_nb,banh-dan-gian-nb,roboflow,https://universe.roboflow.com/nhtdanh,Object Detection,882,20,UNVERIFIED,banh-dan-gian-nb.v1i.yolov11.zip,present,vietnamese_cake_tail,CONDITIONAL_TAIL_AUDIT,"Vietnamese cake long-tail source; low images per class means do not overweight.",Verify exact project/license then sample grid
banh_dan_gian_mien_tay,Banh dan gian mien Tay,roboflow,https://universe.roboflow.com/fruitnetyolov8/banh-dan-gian-mien-tay,Object Detection,462,12,UNVERIFIED,Banh dan gian mien Tay.v5i.yolov11.zip,present,vietnamese_cake_tail,CONDITIONAL_TAIL_AUDIT,"Very small tail patch source; use only for classes missing from stronger sources.",Verify exact page/license then cherry-pick audit
food_kcmrd,Food-kcmrd,roboflow,https://universe.roboflow.com/helo-helo/food-kcmrd,Object Detection,4209,78,CC BY 4.0,04_food_kcmrd.zip,present,ingredient_protein_vegetable_spice,CHERRY_PICK_TO_RAW_AUDIT,"Useful ingredients/proteins/vegetables; do not merge all classes because source is broad/mixed.",Raw audit plus cherry-pick class taxonomy
food_ingredients,FOOD-INGREDIENTS dataset,roboflow,https://universe.roboflow.com/food-recipe-ingredient-images-0gnku/food-ingredients-dataset,Object Detection,4196,120,UNVERIFIED,,missing_download,ingredient_spice_supplement,DOWNLOAD_THEN_CHERRY_PICK_AUDIT,"Ingredient supplement only; public model metrics are modest, so sample grid must pass before use.",Download raw/object-detection export then cherry-pick audit
food_detection_xt7yz,Food detection xt7yz,roboflow,https://universe.roboflow.com/science-fair-48u9f/food-detection-xt7yz,Object Detection,6435,51,UNVERIFIED,16_food_detection_xt7yz.zip,present,general_food_supplement,LOW_PRIORITY_CHERRY_PICK,"General source can fill missing common food classes, but may dilute Vietnamese focus.",Use only after Vietnamese/domain sources are insufficient
uecfood256,UECFOOD256 Roboflow,roboflow,https://universe.roboflow.com/japon-gi1n7/uecfood256,Object Detection,29364,253,UNVERIFIED,07_uecfood256.zip,present,general_asian_food_large,LOW_PRIORITY_CHERRY_PICK,"Large and broad; never merge full because class count conflicts with 140-190 target.",Cherry-pick only after core audit
vietfood67,VietFood67,kaggle,https://www.kaggle.com/datasets/thomasnguyen6868/vietfood68,Object Detection,33000,68,CC BY-NC-SA 4.0,VietFood67.ZIP,present,vietnamese_dish_backbone,LICENSE_RISK_AUDIT_ONLY,"Strongest Vietnamese backbone, but license is non-commercial/share-alike and forbids commercial use/redistribution; not safe as production source without explicit compatibility.",Use for academic/non-commercial only or exclude from production clean dataset
food_detection_3_old,Food detection 3 old,roboflow,,Object Detection,10000,36,UNVERIFIED,11_food_detection_3.zip,present,old_problem_source,QUARANTINE,"Prior logs showed severe duplicate labels; do not enter first production dataset.",Do not use unless later mined manually
food_union_fruit_old,Food union fruit old,roboflow,,Object Detection,51343,12,UNVERIFIED,17_food_union_fruit.zip,present,old_problem_source,QUARANTINE,"Prior logs showed severe duplicate labels and source is fruit-heavy; not first production source.",Do not use unless later mined manually
food_calories_ueh,Food calories UEH,roboflow,https://universe.roboflow.com/food-detection-bmbdt/food-calories-ueh-wsxjx,Object Detection,7800,50,UNVERIFIED,,not_selected,reject_numeric_calorie_labels,REJECT_PUBLIC_METADATA,"Public class names encode grams/calories rather than stable food object classes; not suitable for detector taxonomy.",Reject unless manually relabeled
