source_slug,zip_name,audit_run,source_state,clean_tier,license_state,image_count,class_count,audit_decision,quality_notes,required_filters,next_action
rawdata_my_khanh,RawData.v12i.yolov11.zip,oauth_full8,cached_audited,core_candidate,unverified,7142,50,ACCEPT_FILTERED,"Strong Mekong/Vietnamese dish coverage in sample grid; no empty labels or duplicate rows found.","convert_segment_rows_to_bbox; keep Vietnamese food classes only; verify exact license/page before public release","include in first clean candidate after class mapping"
food_prethesis,Food.v6i.yolov11.zip,oauth_full8,cached_audited,core_filtered_candidate,unverified,45434,68,ACCEPT_FILTERED,"Large Vietnamese/broad food source; sample grid shows some generic/non-target classes and duplicate label rows.","drop generic/non-food classes; dedupe exact label rows; cap per-class overrepresented classes","include after strict class whitelist"
food_detection_bobotnhan,Food-Detection-bobotnhan.v7i.yolov11.zip,v4_public,cached_missing_reaudit_needed,core_filtered_candidate,unverified,11722,32,ACCEPT_FILTERED,"Useful Vietnamese dish coverage; only 10 segmentation rows but several tiny boxes.","convert_segment_rows_to_bbox; drop tiny boxes; re-run OAuth cache before clean build","reaudit/cache with OAuth before first full clean build"
food_ai_tong_hop,Food_AI_Tong_Hop.v1-banh_mi.yolov11.zip,v4_public,cached_missing_reaudit_needed,core_booster,unverified,806,1,ACCEPT_FILTERED,"Focused banh_mi booster with clean audit stats.","dedupe against vietnamese_food_5 and food_prethesis; cap contribution","reaudit/cache with OAuth or include only if raw source is present in Kaggle cache"
vietnamese_food_5,03_vietnamese_food_5.zip,v4_public,cached_missing_reaudit_needed,core_booster,unverified,1000,5,ACCEPT_FILTERED,"Focused Vietnamese class source; sample grid matches target cuisine.","dedupe against food_ai_tong_hop and food_prethesis; keep only mapped classes","reaudit/cache with OAuth before first full clean build"
canteen_menu,canteen_menu.v4i.yolov11.zip,v4_public,cached_missing_reaudit_needed,meal_scene_candidate,unverified,3369,9,ACCEPT_FILTERED,"Relevant canteen/home-meal plates; audit has many empty labels and segmentation rows.","convert_segment_rows_to_bbox; drop empty labels; keep stable plate/meal classes only","reaudit/cache with OAuth, then include if class mapping passes"
vietnamese_food_calories,vietnamese-food-calories.v1i.yolov11.zip,v4_public,cached_missing_reaudit_needed,tail_candidate,cc_by_4_or_manifest_claim,1342,14,ACCEPT_FILTERED,"Vietnamese tail classes visible; small but useful if labels map cleanly.","convert_segment_rows_to_bbox; reject calorie/portion-like labels if present; cap tail classes","reaudit/cache with OAuth before first full clean build"
banh_dan_gian_nb,banh-dan-gian-nb.v1i.yolov11.zip,v4_public,cached_missing_reaudit_needed,tail_candidate,unverified,757,17,ACCEPT_FILTERED,"Focused Vietnamese traditional cake source; low image count but sample grid is relevant.","keep only missing tail classes; cap weight; verify exact source/license","reaudit/cache with OAuth before first full clean build"
banh_dan_gian_mien_tay,Banh dan gian mien Tay.v5i.yolov11.zip,v4_public,cached_missing_reaudit_needed,tail_candidate,unverified,1112,12,ACCEPT_FILTERED,"Relevant western-Vietnam cake/market scenes but boxes are crowded in samples.","convert_segment_rows_to_bbox; cap crowded scenes; keep only missing tail classes","reaudit/cache with OAuth before first full clean build"
food_items,Food Items.v11i.yolov11.zip,v4_public,cached_missing_reaudit_needed,meal_scene_cherry_pick,cc_by_4_or_manifest_claim,2983,48,ACCEPT_FILTERED,"Canteen tray/home meal images are relevant, but segmentation-only source needs conversion.","convert_segment_rows_to_bbox; keep mapped classes only; cap duplicated tray scenes","reaudit/cache with OAuth before using"
food_kcmrd,04_food_kcmrd.zip,oauth_full8,cached_audited,ingredient_cherry_pick,cc_by_4_or_manifest_claim,10858,78,ACCEPT_FILTERED,"Strong ingredient/protein/vegetable supplement; sample grid looks aligned for ingredients.","dedupe exact label rows; keep ingredient/protein classes mapped to taxonomy only","include as ingredient supplement after class whitelist"
thai_food,12_thai_food.zip,oauth_full8,cached_audited,asian_supplement_cherry_pick,unverified,10183,19,ACCEPT_FILTERED,"Neighboring cuisine source with clean-looking food boxes; useful only for overlapping target classes.","convert_segment_rows_to_bbox; keep overlapping food classes only; avoid cuisine dilution","include after core classes show gaps"
uecfood256,07_uecfood256.zip,oauth_full8,cached_audited,broad_supplement_cherry_pick,unverified,76300,253,ACCEPT_FILTERED,"Large broad Asian food source; useful for coverage but too many classes for full merge.","drop all unmapped classes; cap per-class samples; do not import full taxonomy","cherry-pick after core shortlist"
food_detection_xt7yz,16_food_detection_xt7yz.zip,v4_public,cached_missing_reaudit_needed,general_supplement_cherry_pick,unverified,8669,36,ACCEPT_FILTERED,"General meal source; samples show rice/side dishes and useful common classes.","keep only mapped classes; cap source weight; dedupe against core Vietnamese sources","reaudit/cache with OAuth before using"
fish,06_fish.zip,v4_public,cached_missing_reaudit_needed,single_class_booster,unverified,984,1,ACCEPT_FILTERED,"Single fish/protein booster; samples are repetitive but boxes are simple.","use only if fish class needs support; cap image count; dedupe exact/similar frames","reaudit/cache with OAuth only if fish support is needed"
npg_project,15_npg_project.zip,oauth_full8,cached_audited,low_priority_cherry_pick,unverified,8828,101,ACCEPT_FILTERED,"Mostly isolated ingredient/product-style samples; lower fit for prepared-dish detection.","convert_segment_rows_to_bbox; keep ingredient classes only; reject product/background classes","hold until ingredient gaps remain"
food_detection_64,10_food_detection_64.zip,oauth_full8,cached_audited,low_priority_cherry_pick,unverified,23466,64,ACCEPT_FILTERED,"Broad/general food source; sample grid includes noisy/non-food context and people/background scenes.","dedupe exact label rows; drop non-food/generic classes; cap source weight","hold until core and stronger supplements are insufficient"
vegetable_detection,05_vegetable_detection.zip,oauth_full8,cached_audited,hold_crowded_box_review,unverified,8269,22,ACCEPT_FILTERED,"Vegetable source is relevant, but sample grid shows very crowded repeated boxes; high duplicate label rows.","convert_segment_rows_to_bbox; aggressive duplicate/overlap filtering; manual grid review before clean","do not include in first clean candidate until crowded-box filter is verified"
food_prethesis_v3,Food.v3i.yolov11.zip,v4_public,cached_missing_reaudit_needed,overlap_hold,unverified,997,10,ACCEPT_FILTERED,"Alternate export overlaps food_prethesis v6; useful only if cleaner for specific classes.","dedupe by image hash and class overlap; include only classes not covered by v6","hold unless v6 class samples fail"
food_data_truongvo,01_food_data_vn.zip.zip,not_audited,deferred_oversize,backbone_deferred,cc_by_4_or_manifest_claim,8205,31,NOT_AUDITED,"Potential Vietnamese backbone, but expected size is about 26GB and was deferred by resource gate.","split/source-specific audit needed; no local download; verify Drive/Kaggle cloud capacity first","defer until separate large-source cloud plan"
vietfood67,VietFood67.ZIP,not_audited,deferred_oversize_license_risk,license_risk_deferred,cc_by_nc_sa_4,33000,68,NOT_AUDITED,"Strong Vietnamese backbone candidate but oversized and non-commercial/share-alike license risk.","audit only in private/non-commercial lane; keep out of production clean unless license is resolved","defer"
food_union_fruit_old,17_food_union_fruit.zip,not_audited,quarantine,quarantine,unverified,51343,12,SKIPPED_BY_DECISION,"Previously marked old/problem fruit-heavy source.","none","exclude from first production clean"
food_detection_3_old,11_food_detection_3.zip,not_audited,quarantine,quarantine,unverified,10000,36,SKIPPED_BY_DECISION,"Previously marked old/problem source with severe duplicate-label history.","none","exclude from first production clean"
